company reports,"('000net', -4.585065678564867)","('earns', -4.63456788085799)","('000share', -4.653905067628765)","('qtr', -4.7066438109584166)","('otc', -5.2184004777616835)","('net', -5.32711429113291)","('nyse', -5.4910152866278805)","('quarter', -5.5274639293378405)","('share', -5.718548557812565)","('corp', -5.744546319796312)"
buildings (structures),"('building', -7.545223790833295)","('buildings', -7.805276238801273)","('construction', -8.179283152255683)","('project', -8.491310980116198)","('site', -8.497757105312996)","('architecture', -8.552851651342078)","('design', -8.55723445500336)","('square', -8.56618281570774)","('architect', -8.623361790625394)","('space', -8.650824856191207)"
real estate,"('estate', -7.042443170281446)","('building', -7.238797235186874)","('property', -7.321328266871821)","('square', -7.490445579253396)","('buildings', -7.562613005913069)","('bedroom', -7.645434755372929)","('market', -7.739278650755598)","('land', -7.754831678822314)","('development', -7.755951402389178)","('properties', -7.768637762369282)"
constitutions,"('constitution', -6.971191014377087)","('constitutional', -7.527076563494288)","('court', -7.940250639896415)","('amendment', -8.029677704965676)","('supreme', -8.16196843998476)","('rights', -8.207248487926208)","('congress', -8.275539582786434)","('vote', -8.36665406567347)","('justice', -8.433744822160895)","('power', -8.433859735673453)"
families and family life,"('parents', -7.443924190843252)","('child', -7.6397411240947175)","('families', -7.70159469129224)","('mother', -7.84551047774938)","('women', -8.026479722958083)","('mothers', -8.138022800757405)","('care', -8.203598698017725)","('father', -8.208734476927509)","('kids', -8.259514408263348)","('parent', -8.266329163696447)"
doctors,"('doctors', -6.495060509665929)","('patients', -6.723976551700847)","('medical', -6.8337434576979845)","('dr', -7.1276742840013805)","('patient', -7.140509849587044)","('doctor', -7.141856254675235)","('care', -7.144700263359802)","('health', -7.15246741838247)","('physicians', -7.239047483620986)","('hospital', -7.51593525036317)"
historic buildings and sites,"('historic', -7.034001092554827)","('building', -7.085000454082353)","('preservation', -7.213958658333395)","('landmarks', -7.339478519679173)","('buildings', -7.455204765224267)","('landmark', -7.505196876350707)","('built', -7.758980849399362)","('commission', -7.8367840094232735)","('site', -7.9232142311072495)","('century', -7.94515851423368)"
agriculture,"('farmers', -6.80274244539185)","('farm', -6.97576391283102)","('agriculture', -7.233685039507438)","('op', -7.39084007390369)","('agricultural', -7.443992929068469)","('crops', -7.714758575643375)","('farms', -7.7411400090258375)","('land', -7.832366954923875)","('food', -7.893657896958665)","('building', -7.90651512684248)"
shortages,"('shortage', -7.747282078489424)","('shortages', -8.20140965005827)","('supply', -8.440920441905723)","('energy', -8.672123505881752)","('prices', -8.680520036268002)","('demand', -8.714173351357577)","('supplies', -8.720944867033188)","('water', -8.72889723307183)","('electricity', -8.79850226913051)","('market', -8.850994203264417)"
oil (petroleum) and gasoline,"('oil', -5.612883868477089)","('prices', -6.742651182585728)","('crude', -6.7497759583210115)","('barrels', -6.770605313227137)","('gasoline', -6.782868433194391)","('petroleum', -6.821232361943131)","('gas', -6.821830067358654)","('energy', -6.871406514793111)","('production', -7.013016259048371)","('barrel', -7.093114123363287)"
"fishing, sport","('fishing', -7.49744791405064)","('fish', -7.648942090888234)","('trout', -8.06597496172739)","('anglers', -8.163632758252234)","('fly', -8.314597368463714)","('water', -8.390493289661906)","('fishermen', -8.394333313833922)","('bass', -8.609212567186614)","('river', -8.64017952078983)","('angler', -8.703273884824972)"
magazines,"('magazine', -6.564374804173615)","('magazines', -7.035588980066606)","('advertising', -7.44462287291236)","('circulation', -7.683181496036328)","('media', -7.710488924214493)","('publications', -7.809135386320648)","('editor', -7.8390231988006995)","('publisher', -7.843119212346443)","('publishing', -7.8805398612193125)","('ad', -7.902048455179688)"
writing and writers,"('writing', -7.544853622673027)","('book', -7.71887957007574)","('reading', -7.796329235360491)","('students', -7.820309641790947)","('writers', -7.825048560427067)","('books', -7.91124019466598)","('writer', -7.945800344913439)","('read', -8.080763018606614)","('write', -8.13354156238766)","('novel', -8.144320762059568)"
rescues,"('rescue', -7.906687686514438)","('rescuers', -8.734071570298315)","('rescued', -8.736975044088807)","('police', -8.876891049032855)","('firefighters', -9.018324969300064)","('water', -9.036014755953582)","('emergency', -9.113192477741237)","('workers', -9.134397055016088)","('trapped', -9.190996781278592)","('helicopter', -9.240628848472053)"
rain,"('rain', -7.617300550548902)","('weather', -8.447739215207978)","('water', -8.473458323853537)","('flooding', -8.5997677261962)","('rains', -8.647744008828393)","('acid', -8.711043596062115)","('storm', -8.893266592349491)","('inches', -8.898176632703088)","('drought', -8.899101329397688)","('flood', -8.90731011426457)"
cocaine and crack cocaine,"('cocaine', -6.539130630294115)","('drug', -6.946480203527828)","('police', -7.663940891730591)","('drugs', -7.696536790142978)","('crack', -7.730597203458368)","('arrested', -7.9443997020641035)","('colombia', -8.105175396522657)","('charges', -8.203661142098106)","('enforcement', -8.28151100852454)","('traffickers', -8.294538980220443)"
security and warning systems,"('security', -6.587950406175314)","('police', -7.724424749012919)","('airport', -7.789096847717527)","('terrorist', -7.872281036295204)","('attacks', -7.996449814088405)","('airports', -7.999755280488842)","('administration', -8.020100804927644)","('passengers', -8.08397894229351)","('terrorists', -8.176781418582337)","('terrorism', -8.211650108505339)"
floods,"('flood', -7.531510311927837)","('flooding', -7.563998361041044)","('water', -7.952994667110051)","('floods', -8.03259635634241)","('river', -8.099748008661537)","('storm', -8.304041471069882)","('flooded', -8.369135872262317)","('damage', -8.447609796536248)","('rain', -8.466810600274092)","('homes', -8.51193057896282)"
antiques,"('antiques', -7.629296332354043)","('furniture', -8.233713858035511)","('art', -8.315126456460252)","('century', -8.325605562521773)","('antique', -8.381571806189225)","('museum', -8.492539162743496)","('dealer', -8.605879764187149)","('dealers', -8.616350943620233)","('pieces', -8.691046129852259)","('auction', -8.760320596032873)"
toys,"('toy', -7.4727615065244395)","('toys', -7.523781007314851)","('dolls', -8.304556472033164)","('doll', -8.344297818176269)","('mattel', -8.444545945032749)","('barbie', -8.476213312560832)","('hasbro', -8.907190689867669)","('store', -8.97974382952166)","('stores', -8.987312086583053)","('puppet', -9.000780857677663)"
intelligence,"('intelligence', -7.019883576026693)","('iraq', -8.245900942925555)","('bush', -8.301824604666319)","('agency', -8.366714962557907)","('agencies', -8.412803919619206)","('administration', -8.47913810244517)","('information', -8.506011869025043)","('security', -8.51592136311405)","('committee', -8.644723797767)","('weapons', -8.681420107044772)"
documentary films and programs,"('documentary', -7.007826442031723)","('film', -7.100872940770818)","('television', -8.066702645166217)","('films', -8.103319106491778)","('producer', -8.164741336367173)","('movie', -8.182731504914036)","('produced', -8.245971818037619)","('directed', -8.258333641035923)","('documentaries', -8.285049672272175)","('tonight', -8.338508818346309)"
nazi policies toward jews and minorities,"('holocaust', -6.889231335631031)","('nazi', -6.929491638158878)","('jews', -7.073483716234725)","('jewish', -7.233598087078079)","('nazis', -7.4219210339246775)","('german', -7.543204841050804)","('germany', -7.748347862379749)","('hitler', -7.896060140122845)","('auschwitz', -7.928266269963713)","('ii', -7.9425208878814075)"
extradition,"('extradition', -7.588594576058078)","('charges', -8.49290455019646)","('extradited', -8.510415314200547)","('court', -8.593060701969629)","('extradite', -8.663241072043384)","('arrested', -8.755880810913606)","('trial', -8.819423493785257)","('arrest', -8.87251588832006)","('authorities', -8.893442736447533)","('justice', -8.95583212442659)"
hijacking,"('sept', -6.482439295892339)","('attacks', -6.725331815051845)","('terrorist', -6.972369978835258)","('trade', -6.976090118914725)","('challenged', -7.183825664617669)","('nation', -7.203465958962905)","('attack', -7.207107644234545)","('afghanistan', -7.214665368766037)","('terrorism', -7.252378244964461)","('security', -7.361093701522252)"
abortion,"('abortion', -5.896507478379064)","('abortions', -6.733210037692967)","('women', -7.23285645431933)","('rights', -7.319514381266086)","('court', -7.550008883265679)","('anti', -7.606763357639166)","('clinics', -7.687218030504397)","('pregnancy', -7.715748795705585)","('clinic', -7.750097940828914)","('supreme', -7.7515851557909645)"
exercise,"('exercise', -7.749718094814838)","('fitness', -8.127854379917173)","('health', -8.67224163617857)","('weight', -8.676753236629892)","('dr', -8.75335256785755)","('gym', -8.78941765454878)","('workout', -8.818449534017047)","('physical', -8.866246053690396)","('body', -8.872392153001881)","('study', -8.934367463498688)"
"arbitration, conciliation and mediation","('arbitration', -7.458629935268519)","('arbitrator', -8.352154424674808)","('contract', -8.512677899665352)","('union', -8.572192798797435)","('salary', -8.674722147855105)","('mediation', -8.786459199343572)","('arbitrators', -8.820619425116833)","('dispute', -8.885801072732548)","('agreement', -8.90763064116505)","('court', -8.93940693178206)"
constitutional amendments,"('amendment', -7.373740419813358)","('constitutional', -8.05143025579443)","('constitution', -8.25529468746296)","('court', -8.648585099186036)","('vote', -8.687805594734973)","('senate', -8.765556173360952)","('republican', -8.808342547034908)","('rights', -8.830841144189266)","('marriage', -8.88307974349986)","('congress', -8.890615826863208)"
tax evasion,"('tax', -7.295811209965312)","('taxes', -7.806959600613262)","('evasion', -7.970941001049468)","('income', -8.2653620717178)","('charges', -8.321563154012685)","('court', -8.402452139627908)","('fraud', -8.450684277481177)","('prosecutors', -8.549040553889219)","('guilty', -8.599771645743456)","('revenue', -8.615679310863333)"
pregnancy and obstetrics,"('pregnancy', -7.429736562844371)","('pregnant', -7.503005882985521)","('women', -7.56869895296321)","('birth', -7.6165650342054)","('babies', -7.753467810165408)","('baby', -7.920441248133983)","('dr', -7.995121276991695)","('health', -8.070450890717664)","('medical', -8.092533705519221)","('mothers', -8.129663478498138)"
trade shows and fairs,"('exhibition', -7.3099227651924075)","('art', -7.405865550857058)","('museum', -7.442447910447748)","('gallery', -7.59648626787723)","('photographs', -7.918302963028331)","('collection', -8.057751322139923)","('design', -8.088012724825234)","('artists', -8.108154852090417)","('images', -8.140988067510001)","('works', -8.14751324049081)"
suicides and suicide attempts,"('suicide', -6.7637923820602115)","('police', -7.474524714511735)","('death', -7.759902336638801)","('suicides', -8.12538988822716)","('kevorkian', -8.158455234733534)","('dr', -8.175914819848707)","('killed', -8.204305298482339)","('assisted', -8.297831422764851)","('shot', -8.313328061955467)","('medical', -8.413811503815248)"
animals,"('animals', -6.753648781632155)","('fish', -6.782465531650587)","('animal', -6.918300258915)","('species', -6.95316284241369)","('dog', -7.154326207804005)","('dogs', -7.1792515435173945)","('wildlife', -7.186812671837943)","('birds', -7.244968317175874)","('water', -7.338589591565501)","('fishing', -7.367705316331699)"
foster care,"('foster', -7.366722861561716)","('care', -7.975234842075188)","('child', -7.981621981928932)","('welfare', -8.248718350743525)","('parents', -8.505142488277507)","('services', -8.62582981228016)","('homes', -8.701034086355275)","('agency', -8.763682596457382)","('abuse', -8.764766015835335)","('families', -8.779760356031531)"
credit and money cards,"('card', -7.121976309923062)","('credit', -7.322009320727656)","('cards', -7.648229803570607)","('visa', -8.066223991158768)","('mastercard', -8.162514575756797)","('bank', -8.361749243150948)","('banks', -8.438705033625068)","('customers', -8.588534217137521)","('consumers', -8.638810375960631)","('express', -8.665378995010386)"
tennis,"('tennis', -5.994786691674926)","('match', -6.5968841007193)","('wimbledon', -6.7818304971716445)","('seeded', -6.828172085964543)","('tournament', -6.853358072447466)","('agassi', -6.9985281588671535)","('slam', -7.044960835644567)","('sampras', -7.084905342493418)","('player', -7.0923133389349955)","('ranked', -7.1656755279942494)"
production,"('production', -7.021781717756439)","('oil', -7.255878244184143)","('output', -7.539805289378977)","('opec', -7.544803842089092)","('barrels', -7.617292215446701)","('prices', -7.764982902481187)","('crude', -7.884841360401082)","('barrel', -8.081655233250398)","('petroleum', -8.115491760575711)","('industry', -8.211696948768)"
gambling,"('casino', -6.588963080589213)","('gambling', -6.698014538788926)","('casinos', -7.029762214911814)","('atlantic', -7.722091869532982)","('gaming', -7.737598001553817)","('gamblers', -7.951022516679735)","('vegas', -7.9857281703911385)","('las', -8.047667223313862)","('betting', -8.05962501035745)","('trump', -8.080274715985675)"
opera,"('opera', -6.036397995099884)","('music', -7.107144894242394)","('production', -7.258250219279738)","('singers', -7.388484148495051)","('soprano', -7.3923912887751015)","('orchestra', -7.39947608389458)","('performance', -7.4690919628829056)","('metropolitan', -7.503743287730692)","('stage', -7.58812240136436)","('operas', -7.592381543469758)"
consumer protection,"('consumer', -7.3932075336604015)","('consumers', -7.497559387457863)","('companies', -7.878048888088698)","('industry', -8.02443196584597)","('health', -8.089254537637846)","('food', -8.15551656182054)","('products', -8.19178913433985)","('safety', -8.23839513655378)","('drug', -8.251849405311969)","('agency', -8.263958614542675)"
reading and writing skills,"('reading', -7.7109464067845055)","('students', -7.798586152074378)","('schools', -8.031073693037225)","('education', -8.139131455661536)","('grade', -8.163270390604712)","('test', -8.213695960135762)","('teachers', -8.307554201267962)","('scores', -8.406407638422081)","('graders', -8.414921769868277)","('read', -8.47395547535588)"
identification devices,"('identification', -8.3529835705511)","('security', -8.643453798969981)","('id', -8.65358667277885)","('passport', -8.668835334021495)","('fingerprint', -8.693213844321775)","('fingerprints', -8.786626703215015)","('card', -8.895025457449806)","('passports', -8.948156193939566)","('cards', -9.011037968081643)","('police', -9.03545282034358)"
population,"('census', -7.01104174034623)","('population', -7.233610563639189)","('bureau', -7.904142568864324)","('1990', -8.348148248979836)","('growth', -8.412571390035092)","('count', -8.553550584053855)","('residents', -8.63493291614809)","('2000', -8.643471330676295)","('cities', -8.65557774632233)","('data', -8.670591617437177)"
accounting and accountants,"('accounting', -6.755389130373137)","('enron', -7.060174627535208)","('financial', -7.3808805230506485)","('companies', -7.593855749693837)","('securities', -7.619269665603233)","('executives', -7.6864075398069645)","('investors', -7.734102499558617)","('stock', -7.747145952025099)","('firm', -7.801796884287034)","('andersen', -7.8115805314987865)"
impeachment,"('impeachment', -6.706869999176745)","('clinton', -7.314938514586297)","('senate', -7.810624966970545)","('lewinsky', -7.815756222399953)","('starr', -7.91002394667557)","('republicans', -7.998469640116686)","('republican', -8.02117106267751)","('trial', -8.062714981327954)","('committee', -8.193616961962725)","('judiciary', -8.199034650599975)"
sex,"('sex', -7.390680065288523)","('sexual', -7.722651363852018)","('women', -8.385497843611265)","('aids', -8.581829365725513)","('sexually', -8.590234640519185)","('dr', -8.598429351770363)","('men', -8.604574300782586)","('sexuality', -8.692418803417986)","('health', -8.724543333596483)","('abstinence', -8.745229646429966)"
land use policies,"('land', -7.809096915987406)","('development', -8.31812531432315)","('acres', -8.46070615958179)","('property', -8.54004893910633)","('environmental', -8.728123044348283)","('squatters', -8.754898555263326)","('housing', -8.804886394568193)","('developers', -8.864188951797871)","('plan', -8.904206665062219)","('space', -8.955957216757483)"
farmers,"('farmers', -7.199161808816879)","('farm', -7.646140866670473)","('agriculture', -8.015697872286985)","('farms', -8.203925259485324)","('farmer', -8.370663537462612)","('agricultural', -8.426397131993518)","('crops', -8.617475330659513)","('farming', -8.622061422466553)","('subsidies', -8.627535009044111)","('land', -8.67320497302258)"
chemistry,"('carbon', -7.4531719488600805)","('emissions', -7.691102206201855)","('dioxide', -7.800007247219579)","('environmental', -7.929309190390692)","('warming', -8.222344635643708)","('dr', -8.243648102588686)","('levels', -8.254127754003232)","('gas', -8.329545984526101)","('scientists', -8.356887048130172)","('global', -8.377457744950519)"
world war ii (1939-45),"('ii', -7.565309857256724)","('japanese', -7.887347991638622)","('german', -8.09154937613205)","('japan', -8.197715050721408)","('germany', -8.322606744444622)","('nazi', -8.3340418337693)","('1945', -8.449680448999448)","('military', -8.471870911903137)","('hitler', -8.53153354446182)","('army', -8.533708881965648)"
debating,"('debate', -6.995149668493194)","('debates', -7.553430055712879)","('candidates', -7.59408875987669)","('bush', -7.604975792653178)","('campaign', -7.694790588119155)","('presidential', -7.923830047259712)","('democratic', -8.066539433226986)","('republican', -8.06840687213494)","('senator', -8.117508120612705)","('voters', -8.14377912272359)"
racketeering and racketeers,"('racketeering', -7.235028764905676)","('gotti', -7.987749791818623)","('trial', -8.033822717194468)","('prosecutors', -8.05061278761721)","('charges', -8.06926891688759)","('judge', -8.210665371231524)","('crime', -8.21575167315092)","('court', -8.2670547821115)","('jury', -8.345752746887985)","('gambino', -8.356345348305164)"
industry profiles,"('industry', -7.584742321292139)","('companies', -7.757980560260045)","('market', -7.8714427071347)","('sales', -8.08527358933884)","('billion', -8.095119284305223)","('analysts', -8.25065199798756)","('prices', -8.386715162833145)","('analyst', -8.457760121724021)","('customers', -8.462877807589123)","('corporation', -8.475526681913074)"
embargoes and economic sanctions,"('sanctions', -6.629598129120821)","('embargo', -7.183753664080086)","('nations', -7.326649793594033)","('iraq', -7.429159619623092)","('administration', -7.758940728822451)","('council', -7.811308382084414)","('foreign', -7.833460961025689)","('trade', -7.838005792172389)","('security', -7.843775927494339)","('oil', -7.845567983058311)"
scholarships and fellowships,"('scholarships', -7.891984591089224)","('scholarship', -8.062969954643526)","('students', -8.06599166598749)","('college', -8.315272220315515)","('education', -8.619096139757557)","('colleges', -8.712654062958913)","('student', -8.780487944368623)","('aid', -8.945804207571221)","('schools', -8.967748540214245)","('tuition', -8.977313750944445)"
golf,"('golf', -5.939502650004968)","('par', -6.400120912760201)","('hole', -6.624428205198336)","('tournament', -6.632291262598085)","('pga', -6.710696592183766)","('tour', -6.738858416368469)","('round', -6.811911147294091)","('shot', -6.880880237820189)","('woods', -6.895468526132017)","('putt', -6.957422495642789)"
anatomy and physiology,"('heart', -6.978744426310534)","('dr', -7.174615066321669)","('patients', -7.314776498522155)","('disease', -7.5251076489919715)","('study', -7.531682495004045)","('medical', -7.613070859058584)","('blood', -7.630492937084225)","('doctors', -7.696877471881442)","('researchers', -7.750348762860716)","('risk', -7.788786729578802)"
diet and nutrition,"('food', -7.3339234508060684)","('diet', -7.335403436820419)","('fat', -7.35032026810516)","('nutrition', -7.5709633127164935)","('health', -7.679302593483729)","('foods', -7.690667022560101)","('calories', -7.793109885713696)","('eating', -7.835109135470854)","('eat', -7.856712391067342)","('dr', -7.86841412985552)"
illegal aliens,"('immigration', -6.706233601788182)","('immigrants', -6.840654857209032)","('illegal', -6.93667994590261)","('aliens', -7.597778734847593)","('immigrant', -7.827953088305023)","('border', -7.847361020266191)","('legal', -7.998623694140634)","('workers', -8.012728508165921)","('naturalization', -8.101548467382035)","('illegally', -8.128883274749311)"
philanthropy,"('foundation', -7.477640353507929)","('fund', -7.6539176738912085)","('charity', -7.671918260739392)","('evening', -7.677085143605621)","('charities', -7.7550191982360905)","('hours', -7.81902000610849)","('charitable', -7.836080966141898)","('donations', -7.9868048735336075)","('organizations', -8.054463137090902)","('philanthropy', -8.0595484877899)"
architecture,"('architecture', -6.923218262827347)","('architects', -7.2397504225581715)","('architect', -7.256169074025663)","('design', -7.276832260629735)","('building', -7.324558454115794)","('architectural', -7.445954333525817)","('buildings', -7.566928034228069)","('designed', -7.634682089931103)","('art', -7.806638770761149)","('museum', -7.823656901407054)"
nursing and nurses,"('nurses', -7.4710375979436074)","('nurse', -7.956889799367601)","('nursing', -8.066128455812903)","('hospital', -8.215340181870308)","('patients', -8.282168012019156)","('care', -8.32733889076602)","('hospitals', -8.403829129416836)","('health', -8.477847988077631)","('medical', -8.63032783914548)","('patient', -8.632983958683688)"
medicare,"('medicare', -6.3159787744690155)","('health', -7.15724516101338)","('care', -7.315402108446235)","('elderly', -7.51149646506838)","('medicaid', -7.584048460998449)","('beneficiaries', -7.665304964224783)","('insurance', -7.707713693546288)","('drug', -7.714671226943314)","('patients', -7.717415672881556)","('coverage', -7.723307048071136)"
trees and shrubs,"('trees', -7.225434401510317)","('tree', -7.440859343317894)","('plant', -8.513734901761019)","('leaves', -8.52508430124552)","('plants', -8.696993989159026)","('species', -8.782715030821583)","('planted', -8.787571899365103)","('branches', -8.835371435884502)","('forest', -8.83637789070559)","('parks', -8.916835414718289)"
teachers and school employees,"('teachers', -6.162634247396343)","('students', -6.6946894495281235)","('schools', -6.710376014679779)","('education', -6.7682129253264645)","('teacher', -6.77038324548206)","('teaching', -7.226897227369389)","('board', -7.490174515990536)","('student', -7.524176482160963)","('union', -7.573274640122853)","('classroom', -7.631806028668247)"
deportation,"('deportation', -7.630755108750082)","('immigration', -7.7500167762287795)","('deported', -7.956360003182323)","('immigrants', -8.520399372160051)","('deport', -8.566132362555459)","('court', -8.7364964892706)","('asylum', -8.86972947898836)","('naturalization', -8.89555770535243)","('justice', -8.929822579979081)","('judge', -8.942013236248771)"
"war crimes, genocide and crimes against humanity","('crimes', -7.035761715917297)","('tribunal', -7.221417896747116)","('nations', -7.65208644153705)","('genocide', -7.6678161594054535)","('court', -7.7976753829118035)","('milosevic', -7.809283952536247)","('military', -7.860737810780763)","('trial', -7.864450720937466)","('bosnian', -7.880919139603333)","('bosnia', -7.960633012613268)"
metals and minerals,"('copper', -7.722845124136898)","('uranium', -7.960427969539449)","('metals', -8.233802889534998)","('nuclear', -8.334968233878806)","('futures', -8.410066055592825)","('cents', -8.441843326984728)","('prices', -8.447069896784592)","('mercury', -8.467739544774826)","('metal', -8.492693117963677)","('platinum', -8.630403439971074)"
atomic weapons,"('nuclear', -6.00286180830067)","('weapons', -6.28440447654334)","('iraq', -6.304840353247572)","('bush', -6.913922140272165)","('military', -7.0101220787091485)","('administration', -7.03425810267643)","('iraqi', -7.05771264125929)","('nations', -7.058654095362809)","('hussein', -7.080636965373541)","('security', -7.100008238474981)"
recordings (audio),"('music', -6.586923713083876)","('album', -6.81100352335169)","('video', -6.832555994872356)","('cd', -6.972442916072606)","('songs', -7.120653610406724)","('recording', -7.176074426142787)","('film', -7.352397888753888)","('recordings', -7.354973773705738)","('song', -7.387627332827571)","('record', -7.461995062041836)"
mental health and disorders,"('mental', -6.639994763631857)","('psychiatric', -7.036901140536975)","('health', -7.172104730813631)","('patients', -7.255661562477832)","('dr', -7.268188994826061)","('mentally', -7.290827021626734)","('treatment', -7.428621943644723)","('depression', -7.505316812731479)","('illness', -7.553959464873438)","('ill', -7.604073211500621)"
hunting and trapping,"('hunting', -7.626494883116445)","('hunters', -7.927167308731743)","('deer', -8.123590475472017)","('hunt', -8.341114339300027)","('wildlife', -8.442411316006092)","('animals', -8.66529720209869)","('hunter', -8.74317739012881)","('animal', -8.77706415202273)","('birds', -9.069800477758827)","('fish', -9.127068663976825)"
hazardous and toxic substances,"('environmental', -7.403745895742864)","('toxic', -7.5273156240222585)","('waste', -7.786600388292176)","('hazardous', -7.819916844687971)","('chemicals', -8.017119765082978)","('chemical', -8.060244233226424)","('cleanup', -8.109416687858866)","('agency', -8.125315500403328)","('health', -8.14501005375795)","('protection', -8.187960364319457)"
water,"('water', -6.3209061004807126)","('environmental', -6.852876922774689)","('gallons', -7.528307612181689)","('river', -7.58174565507674)","('protection', -7.584566567510627)","('oil', -7.603260681523561)","('pollution', -7.622579126526152)","('spill', -7.713341399937633)","('sewage', -7.742046788438637)","('clean', -7.909855309496674)"
water pollution,"('environmental', -7.0785053102557836)","('water', -7.178992579527904)","('oil', -7.553926979016236)","('pollution', -7.606710089634307)","('spill', -7.607840545626756)","('sewage', -7.7803097828005905)","('gallons', -7.882870679464589)","('exxon', -7.884543785002645)","('river', -7.946628178430011)","('protection', -7.956284601929999)"
summit conferences,"('summit', -7.302479650603892)","('gorbachev', -7.7299331666914535)","('soviet', -7.7409897204327605)","('meeting', -7.786616952372225)","('leaders', -8.258085323129)","('moscow', -8.262902828818023)","('union', -8.396568157658074)","('reagan', -8.398919369790002)","('mikhail', -8.400455182635898)","('countries', -8.44853300364991)"
spanish language,"('hispanic', -7.069459168637393)","('spanish', -8.01619187013565)","('black', -8.151199058198461)","('minority', -8.480277510087056)","('language', -8.519112785173522)","('population', -8.644965877815975)","('puerto', -8.705839733088455)","('community', -8.731153630652454)","('blacks', -8.738716669764058)","('english', -8.76779927054331)"
lobbying and lobbyists,"('lobbying', -7.097205736714172)","('lobbyists', -7.322523310887518)","('republican', -7.714759228179257)","('congress', -7.719833562811652)","('senate', -7.758362006873563)","('lobbyist', -7.7883518110459695)","('campaign', -7.84527764080063)","('committee', -7.858118529553735)","('legislation', -8.03343290427301)","('senator', -8.03453387214146)"
dogs,"('dog', -6.798815020279139)","('dogs', -6.873796361053579)","('pet', -8.00583755079326)","('pets', -8.075216643015164)","('animal', -8.171406526226686)","('owners', -8.18738440171889)","('animals', -8.27935607379203)","('kennel', -8.4853759478213)","('canine', -8.541315953111239)","('breed', -8.612997253740726)"
museums,"('museum', -6.6246269074914315)","('art', -7.15741286982291)","('museums', -7.481054873569473)","('exhibition', -7.768890302420519)","('collection', -7.8542947589172005)","('gallery', -8.015570349026243)","('paintings', -8.061223063017055)","('artists', -8.09943028137153)","('works', -8.132652376776889)","('painting', -8.21294679817133)"
pornography and obscenity,"('pornography', -7.622072880537413)","('sex', -8.081010936148015)","('pornographic', -8.404184072999744)","('court', -8.44304742052524)","('internet', -8.458235163498165)","('sexual', -8.569710929343994)","('sexually', -8.580325685486342)","('obscene', -8.589435003715895)","('obscenity', -8.613201442573915)","('explicit', -8.634246090690164)"
noise,"('noise', -7.496428668136737)","('residents', -8.851553044693505)","('sound', -8.891776313612766)","('loud', -9.09892068532507)","('airport', -9.174813760145828)","('complaints', -9.188185645020784)","('noisy', -9.195402242815558)","('neighbors', -9.236913254422602)","('editor', -9.239127107399915)","('traffic', -9.239282055873575)"
recipes,"('tablespoons', -6.6141492664696715)","('pepper', -6.699809219374014)","('salt', -6.741265474325503)","('cup', -6.803285544816582)","('add', -6.82687918871784)","('servings', -6.839265316891933)","('teaspoon', -6.855801647214508)","('cook', -6.904498410916324)","('heat', -6.918879075402263)","('yield', -6.938068837038602)"
cooking and cookbooks,"('tablespoons', -6.4601316223897145)","('pepper', -6.4903136719853425)","('salt', -6.50121443263407)","('cook', -6.608291394535242)","('servings', -6.630591117616388)","('add', -6.636709652912769)","('cup', -6.643644039761538)","('heat', -6.707102642332194)","('minutes', -6.734836142335472)","('cooking', -6.736385744232689)"
weddings and engagements,"('graduated', -4.847508299487709)","('mrs', -5.017176170136748)","('father', -5.15233490112165)","('married', -5.246177600844012)","('daughter', -5.247013130502161)","('son', -5.288485446589977)","('bride', -5.337722684702562)","('bridegroom', -5.396121255337928)","('weddings', -5.495571439180799)","('ceremony', -5.619509703370456)"
steroids,"('steroids', -7.248764948478798)","('steroid', -7.5947777710725815)","('athletes', -8.09899638154079)","('baseball', -8.159594903517423)","('drug', -8.178920941426838)","('testing', -8.270860915034842)","('sports', -8.303335062049044)","('drugs', -8.312115385744246)","('doping', -8.33924669832997)","('enhancing', -8.38654214345312)"
church-state relations,"('religious', -7.2536736139329205)","('religion', -7.679058254246441)","('church', -7.816758992083215)","('court', -8.20197715114626)","('schools', -8.31562636243481)","('faith', -8.41844267834412)","('christian', -8.434407383603531)","('separation', -8.441414375750561)","('supreme', -8.45194495406496)","('prayer', -8.507903513940594)"
brokers and brokerage firms,"('brokerage', -7.395245298774081)","('firms', -7.5309392181488235)","('securities', -7.54376441311343)","('brokers', -7.606869346963011)","('firm', -7.731763745059401)","('stock', -7.79761693785525)","('investors', -7.856816035841351)","('broker', -7.97788984865296)","('market', -8.018730494284245)","('trading', -8.02709512655985)"
small business,"('businesses', -7.714959928219033)","('companies', -8.295570479475689)","('employees', -8.634803012893022)","('owners', -8.718635281227533)","('entrepreneurs', -8.789289241060686)","('tax', -8.894300919528204)","('insurance', -9.01942118812573)","('loans', -9.065263080576651)","('market', -9.13432752393444)","('plan', -9.146526808578885)"
fish and other marine life,"('fish', -6.593669249794435)","('fishing', -7.02610947641678)","('water', -7.357593200946796)","('fishermen', -7.5470411229149015)","('species', -7.585757364131981)","('sea', -7.675430683747619)","('marine', -7.7218749159456435)","('waters', -7.743787981181689)","('salmon', -7.839796088845261)","('river', -7.889391397537127)"
