company reports,"('amex', -5.211085144866019)","('discontinued', -5.618139282572193)","('b1', -5.798886604494445)","('01', -5.82673857213189)","('02', -5.948127118431862)","('03', -6.019199039200537)","('respectively', -6.031137196260979)","('04', -6.105005230861835)","('05', -6.1054368021531875)","('06', -6.122930199970927)","('07', -6.158774913732408)","('08', -6.188779909082163)","('b2', -6.239610516468859)","('09', -6.270049997439826)","('bancorp', -6.41081352321991)","('restated', -6.433686808621377)","('credits', -6.530837683622718)","('b3', -6.623665309117045)","('pretax', -6.770951444515765)","('b4', -6.811898229367177)"
surgery and surgeons,"('surgeons', -7.07183645309819)","('surgeon', -7.117385235584144)","('surgical', -7.370244073265095)","('procedure', -7.425530399506655)","('tissue', -7.914428043733732)","('transplant', -7.925325565582057)","('bypass', -8.066696508349214)","('breast', -8.13978570645587)","('complications', -8.24128557045637)","('physicians', -8.364662836721745)","('physician', -8.383437366687893)","('anesthesia', -8.387872464298935)","('underwent', -8.395622370083487)","('transplants', -8.403168024953091)","('therapy', -8.426543004356105)","('treatments', -8.426674248680916)","('infection', -8.428964912624117)","('artery', -8.443552776143749)","('clinical', -8.447817688950359)","('undergo', -8.449595498226216)"
parades,"('parade', -6.137084422218155)","('parades', -7.710181665001889)","('marchers', -7.9379640187838145)","('marching', -8.043075039696598)","('hibernians', -8.129300276957274)","('organizers', -8.222795385693594)","('marched', -8.266105015636025)","('lesbian', -8.359688603088328)","('floats', -8.440758381127077)","('float', -8.50419437035037)","('spectators', -8.543802324894628)","('rican', -8.62182825330881)","('puerto', -8.65146947018068)","('dinkins', -8.675083113141342)","('bands', -8.687331739746433)","('macy', -8.782500812044617)","('44th', -8.89560094865449)","('ticker', -8.932145193501395)","('marshal', -8.960084974362733)","('carnival', -8.968651621128634)"
discrimination,"('discrimination', -5.622111460637876)","('minorities', -7.086554202365617)","('bias', -7.104671063432729)","('racism', -7.1648031995453305)","('whites', -7.262274883579915)","('discriminatory', -7.312898317631243)","('affirmative', -7.344315720514471)","('homosexuals', -7.345599751355699)","('plaintiffs', -7.3869836743367925)","('discriminated', -7.47846641337238)","('harassment', -7.500354688218769)","('discriminate', -7.579332886982491)","('profiling', -7.59274603035345)","('employers', -7.5941524648618035)","('racist', -7.6070850086412936)","('orientation', -7.6093884212511504)","('segregation', -7.66998165433986)","('gender', -7.7458782346325235)","('diversity', -7.754283576340129)","('damages', -7.767436216949527)"
free agents (sports),"('unrestricted', -7.996929128978429)","('sox', -8.200128781187603)","('arbitration', -8.207193523507089)","('baseman', -8.242505061822015)","('outfielder', -8.268302461282644)","('salaries', -8.364892410437344)","('bargaining', -8.40302330549168)","('hander', -8.413937846455955)","('steinbrenner', -8.433720598611577)","('rangers', -8.440801868394303)","('linebacker', -8.441013421713688)","('bonus', -8.442097360745718)","('batted', -8.494083992106928)","('receiver', -8.536264302329446)","('knicks', -8.538321372321908)","('roster', -8.551499686097312)","('starter', -8.568227236957252)","('doty', -8.573629087534847)","('pitchers', -8.574932486406237)","('hitter', -8.672713222952652)"
interscholastic athletics,"('varsity', -8.014730705738176)","('athletes', -8.085815703195639)","('touchdown', -8.3615512645806)","('touchdowns', -8.454008046762137)","('championships', -8.47037634328471)","('interscholastic', -8.645888959373321)","('sophomore', -8.685854305473843)","('soccer', -8.720025461984065)","('prep', -8.740681623014753)","('athletics', -8.759047767987674)","('coaching', -8.768704637449744)","('freshman', -8.841080000776252)","('gym', -8.888652730795009)","('meter', -8.91245692327852)","('athlete', -8.931942063106657)","('undefeated', -8.964182661684719)","('relay', -8.987627136676412)","('meters', -9.046145255578535)","('coached', -9.08779291001109)","('indoor', -9.14650498144001)"
telephones and telecommunications,"('wireless', -5.745521395732637)","('telecommunications', -5.86803121465573)","('phones', -6.163434370185892)","('cellular', -6.323877632864061)","('mobile', -6.398063331695534)","('verizon', -6.472951871652512)","('cellphone', -6.571335544650085)","('telecom', -6.797091884478103)","('mci', -6.811249187237652)","('carriers', -6.877933554017325)","('sprint', -6.892101797223077)","('cellphones', -6.919558968797419)","('cell', -7.191771360208558)","('sbc', -7.199960585390769)","('subscribers', -7.220195897317172)","('carrier', -7.288551864118067)","('providers', -7.307756970235541)","('provider', -7.33382773802998)","('worldcom', -7.3695202148124945)","('motorola', -7.376452678394497)"
radio,"('fm', -6.590758810347412)","('broadcasting', -6.73358456062489)","('listeners', -6.836595805877119)","('programming', -6.860748352186506)","('broadcasts', -7.276793210770539)","('broadcasters', -7.392597650566371)","('satellite', -7.612824369242613)","('advertisers', -7.744408297709151)","('wnyc', -7.817236156946972)","('airwaves', -7.8263018125894455)","('format', -7.845448593112784)","('channels', -7.856767614235004)","('radios', -7.943508624720467)","('commercials', -7.990390386669642)","('sirius', -8.093221915928442)","('xm', -8.098640474237627)","('hosts', -8.151734145930497)","('audio', -8.196707891282816)","('imus', -8.204236936172691)","('npr', -8.218561267157247)"
reproduction (biological),"('cloning', -6.838327083222485)","('embryos', -7.114409989574613)","('sperm', -7.162458713299776)","('fertility', -7.399676401710046)","('cells', -7.421172268454575)","('reproductive', -7.460585418893664)","('infertility', -7.543831850096294)","('fertilization', -7.554469582016235)","('genetic', -7.563144640495725)","('eggs', -7.569858685897101)","('embryo', -7.57174491639711)","('surrogate', -7.5877880053247475)","('vitro', -7.613509128865083)","('cell', -7.635349602835589)","('egg', -7.730554764519203)","('stem', -7.764285039010307)","('whitehead', -7.814450570521519)","('cloned', -7.848427201833498)","('couples', -7.981547549179551)","('genes', -8.01553070318483)"
physics,"('physics', -7.001955768455211)","('physicists', -7.315205903940438)","('particles', -7.557285066373785)","('particle', -7.653922359453581)","('physicist', -7.733616386405592)","('universe', -7.791419028373422)","('atoms', -7.992747104518958)","('supercollider', -8.014016666865155)","('einstein', -8.037429000387373)","('quantum', -8.054182274638084)","('magnetic', -8.075822709798931)","('accelerator', -8.088832325200439)","('collider', -8.191883013844372)","('superconducting', -8.222122319397453)","('experiments', -8.253888074844411)","('tritium', -8.265117378649798)","('protons', -8.400199158782637)","('nobel', -8.41384312561957)","('electron', -8.431676352922299)","('magnets', -8.450240403544521)"
mayors,"('mayoral', -5.956600742326158)","('dinkins', -6.139232356721985)","('bloomberg', -6.285075938553824)","('ferrer', -6.662394258728386)","('koch', -6.76110771321128)","('borough', -6.821982608923431)","('messinger', -7.041364874119377)","('mayors', -7.207778405601767)","('comptroller', -7.2628081117554375)","('hevesi', -7.339905868771792)","('runoff', -7.394735337627758)","('sharpton', -7.426598070470034)","('councilman', -7.456981157661106)","('vallone', -7.460128846027411)","('fernando', -7.463045013669181)","('endorsement', -7.532956848493048)","('candidacy', -7.597763468227697)","('incumbent', -7.631424720521842)","('endorsed', -7.695215423262219)","('rudy', -7.7694500420524335)"
primaries,"('primaries', -6.405082704839269)","('hampshire', -6.73382292763944)","('ballot', -6.796600864518103)","('delegates', -7.104364861107419)","('caucuses', -7.113825815888308)","('candidacy', -7.225048390852471)","('incumbent', -7.279706032799771)","('kerry', -7.280955219809413)","('cuomo', -7.282159662188845)","('gore', -7.289951865906377)","('mccain', -7.297089285066001)","('dukakis', -7.35437204786851)","('nominee', -7.383512501481035)","('mayoral', -7.384173952416638)","('endorsement', -7.425109059658474)","('campaigning', -7.433108070353546)","('turnout', -7.462152965183245)","('voter', -7.490880725514275)","('endorsed', -7.51993162641545)","('dole', -7.580757309822649)"
"new models, design and products","('disk', -7.369712896737906)","('chip', -7.478286741822093)","('patent', -7.505370477238832)","('pc', -7.527751876403315)","('microprocessor', -7.592311437400807)","('macintosh', -7.618337738177894)","('applications', -7.6416300960657075)","('intel', -7.645509857381865)","('chips', -7.667583704246196)","('desktop', -7.704820551403191)","('microsoft', -7.70840422302988)","('user', -7.715498753334416)","('computing', -7.745221186970642)","('electronics', -7.813889715280666)","('chrysler', -7.816606728786846)","('motors', -7.846943176135401)","('engine', -7.882217530495227)","('disks', -7.920314665218781)","('graphics', -7.920664873888281)","('compatible', -8.012209855481842)"
design,"('designers', -6.996719909573858)","('currents', -7.443975422989746)","('disk', -7.572027610977543)","('chip', -7.638536795455556)","('patent', -7.688977069727343)","('pc', -7.738028105982833)","('microprocessor', -7.793443045723877)","('architects', -7.80023518008379)","('macintosh', -7.815344271805433)","('chips', -7.822464681290067)","('applications', -7.829564480262981)","('intel', -7.8526070039299665)","('user', -7.873016701804447)","('chairs', -7.880336213539304)","('chrysler', -7.891277867057481)","('microsoft', -7.905659840015942)","('desktop', -7.907142990258902)","('graphics', -7.936469188875829)","('computing', -7.941469657957472)","('motors', -7.955301912309483)"
weight,"('obesity', -6.759153093043924)","('diet', -6.986047463489449)","('overweight', -7.200649959899531)","('obese', -7.41183175054393)","('calories', -7.526456514849883)","('foods', -7.834489105586321)","('diets', -7.8538501955439175)","('nutrition', -7.900519810039919)","('diabetes', -7.972363680141371)","('calorie', -8.063217039826823)","('dieting', -8.201138304202168)","('intake', -8.410938699691169)","('dieters', -8.44357373637784)","('dietary', -8.461545756410292)","('carbohydrates', -8.550784584505832)","('disorders', -8.615210339022749)","('atkins', -8.618474129133514)","('cholesterol', -8.62892291864356)","('habits', -8.672643385609746)","('protein', -8.672753891635576)"
christmas,"('holidays', -7.507189736302725)","('claus', -7.628865516906903)","('carols', -7.876797242486829)","('shoppers', -7.988978883777747)","('retailers', -7.992227446001183)","('thanksgiving', -8.022585048928512)","('toys', -8.105203958318747)","('hanukkah', -8.191058611291869)","('seasonal', -8.194776337155105)","('decorations', -8.244030187079174)","('ornaments', -8.274536263903864)","('reindeer', -8.350447111271752)","('nativity', -8.358441125832114)","('toy', -8.387285300782821)","('merry', -8.550167288741616)","('decorated', -8.57983327263701)","('mall', -8.611218463112007)","('santas', -8.618633695660268)","('albums', -8.633110425332267)","('rockefeller', -8.636696791105589)"
office buildings and commercial properties,"('afghanistan', -6.5255405620278815)","('towers', -6.554086165304546)","('bin', -6.69264662941341)","('terrorists', -6.750747825010021)","('taliban', -6.7671524059784165)","('laden', -6.786764206863689)","('qaeda', -6.806751897902887)","('tenants', -6.9222482513753825)","('osama', -7.079204170787573)","('lease', -7.206763947717652)","('firefighters', -7.2364253563057845)","('pakistan', -7.331732805352078)","('afghan', -7.376908194850943)","('hijackers', -7.395000723580885)","('anthrax', -7.407682974231746)","('twin', -7.4462003460515165)","('developers', -7.450020513062686)","('rents', -7.461130834238162)","('bloomberg', -7.502993186571747)","('tenant', -7.503601916844608)"
political prisoners,"('prisoners', -6.953487548494333)","('dissidents', -7.819033975070182)","('beijing', -7.902052896544114)","('dissident', -8.06295679246564)","('freed', -8.12646910060148)","('detained', -8.131907235407532)","('amnesty', -8.139504163695102)","('prisoner', -8.142669323294495)","('imprisoned', -8.23679331079208)","('detention', -8.327874533327584)","('wei', -8.363269630070057)","('aung', -8.420486315570159)","('kyi', -8.426429693316756)","('suu', -8.437340095109159)","('tiananmen', -8.517387909389788)","('jailed', -8.517595851935457)","('crackdown', -8.53491292588371)","('mandela', -8.586921458750943)","('wang', -8.591558155616628)","('torture', -8.594300915608821)"
forecasts,"('forecast', -7.053290173694039)","('forecasts', -7.619954817318883)","('outlook', -7.767066642141129)","('projections', -7.837024955619529)","('forecasting', -8.005128176606554)","('predictions', -8.060410044111858)","('exports', -8.143284709936726)","('predict', -8.166352229252407)","('predicting', -8.175175388338564)","('output', -8.276389200741907)","('forecasters', -8.291705605025198)","('monetary', -8.314127798075344)","('slowdown', -8.356280515916165)","('surplus', -8.390486068852008)","('prediction', -8.40227925219739)","('greenspan', -8.462893615757146)","('agriculture', -8.478602517050128)","('tenths', -8.489823031610728)","('dow', -8.546561675024897)","('downturn', -8.604290929634416)"
furniture,"('chairs', -7.240930930781744)","('currents', -7.409848789022128)","('sofa', -7.786265781180191)","('furnishings', -7.81932502099096)","('designers', -7.959673876124755)","('antiques', -8.006593644152032)","('upholstered', -8.275042847597451)","('leather', -8.347363205145562)","('sofas', -8.385957143149929)","('showroom', -8.434039757894169)","('mahogany', -8.451085827175472)","('fabric', -8.484658353290028)","('decorative', -8.492787882265633)","('lamps', -8.534190303253155)","('antique', -8.56495605112131)","('carved', -8.584305577712545)","('drawers', -8.607114987829839)","('sotheby', -8.64296881122528)","('lamp', -8.65306722995674)","('custom', -8.723509919001495)"
immigration and refugees,"('immigration', -5.324424993811472)","('refugees', -5.869464869310601)","('immigrant', -6.31321205885137)","('refugee', -6.413450508676349)","('asylum', -6.528140772392521)","('naturalization', -6.693969728225344)","('deportation', -6.81182641450907)","('aliens', -6.846380512732242)","('visas', -7.031459680346097)","('citizenship', -7.066566529504644)","('deported', -7.145863245228965)","('camps', -7.166872462835947)","('cuba', -7.233984604739011)","('cuban', -7.258164643007758)","('illegally', -7.261423184775128)","('detention', -7.301712082835732)","('visa', -7.311144236039235)","('foreigners', -7.5140399701983)","('fleeing', -7.569390117974183)","('undocumented', -7.579037712247395)"
gas (fuel),"('pipeline', -6.902243875769937)","('rigs', -7.219925370467846)","('drilling', -7.353233865588553)","('gallon', -7.421578679461682)","('heating', -7.457024607127164)","('gasoline', -7.472812363343791)","('electricity', -7.510580076550837)","('cubic', -7.592566194944084)","('petroleum', -7.640025212748324)","('utilities', -7.740803408928576)","('pipelines', -7.776798294199628)","('reserves', -7.825320374517134)","('hughes', -7.839077371169808)","('gazprom', -7.850096598156389)","('barrels', -7.919998087544197)","('fuels', -7.9363576256845665)","('exploration', -7.9728035054424335)","('explosion', -8.013386710445436)","('crude', -8.067931070576497)","('enron', -8.076159275869623)"
prostitution,"('prostitution', -6.873210661153901)","('prostitutes', -7.083268180165976)","('prostitute', -7.630838138037351)","('brothel', -8.233869095979998)","('brothels', -8.295276368939325)","('trafficking', -8.391793252134502)","('condoms', -8.796299530124662)","('rifkin', -8.827338833796285)","('pimps', -8.905991242959587)","('arrests', -8.949222256054636)","('soliciting', -9.058062917769805)","('virus', -9.061090311608243)","('slavery', -9.080456412956796)","('undercover', -9.108363839095961)","('massage', -9.123140906543853)","('sexually', -9.137892966896537)","('pimp', -9.2438805808058)","('infected', -9.256732385855464)","('escort', -9.272325705937966)","('precinct', -9.346550110461996)"
regulation and deregulation of industry,"('regulators', -6.376378024687595)","('regulatory', -6.41658119560848)","('regulation', -6.457560708031581)","('deregulation', -6.848728601787126)","('regulate', -7.333679588544296)","('utilities', -7.403058860209777)","('regulated', -7.467769188623649)","('telecommunications', -7.476496929383224)","('electricity', -7.52157256285132)","('oversight', -7.644360609043137)","('carriers', -7.739448205792392)","('enron', -7.807952330531233)","('tobacco', -7.949597644673814)","('regulator', -7.957770352035422)","('provisions', -7.97815970942786)","('operators', -7.9883058352608005)","('lobbying', -8.005695274659086)","('aviation', -8.035051460237426)","('pollution', -8.04205685450664)","('insurers', -8.045875302142948)"
foreign investments,"('foreigners', -7.486982182225993)","('exports', -7.7435677772416)","('investing', -7.779763300715979)","('invested', -7.955910452305485)","('hong', -7.972996369838439)","('kong', -7.981726595796399)","('export', -8.009310172071988)","('yen', -8.051977732897077)","('economies', -8.099996042888707)","('ventures', -8.11884847002954)","('brazil', -8.152530201666233)","('monetary', -8.1879990098645)","('factories', -8.290758003465026)","('reserves', -8.299023475252366)","('imports', -8.29925949222476)","('privatization', -8.304863083244868)","('beijing', -8.318794601218784)","('currencies', -8.32774271108766)","('telecommunications', -8.335391418839926)","('indonesia', -8.380950275653335)"
trades (sports),"('knicks', -7.273991561869968)","('rangers', -7.493260812580937)","('outfielder', -7.569505961859154)","('sox', -7.697150274599771)","('baseman', -7.709211823662221)","('pitchers', -7.847142743615908)","('hander', -7.853373274017285)","('batted', -7.913582157484417)","('pitching', -7.92642871513694)","('trades', -7.93250967087849)","('nets', -7.953080885248552)","('hitter', -7.971294708366319)","('steinbrenner', -7.982517912642497)","('roster', -8.124578508886511)","('assists', -8.127736955859643)","('cashman', -8.14099770574327)","('starter', -8.142127540194622)","('phillips', -8.161698213160077)","('defenseman', -8.189317511220453)","('fielder', -8.1914735969545)"
customs (tariff),"('tariffs', -6.724970042738294)","('imports', -7.224108067027089)","('tariff', -7.545588047426146)","('exports', -7.627965795578737)","('duties', -7.945685420797089)","('subsidies', -7.951207406179933)","('import', -7.970715023600155)","('imported', -8.118447498713607)","('sanctions', -8.143074755123397)","('export', -8.206929236889197)","('barriers', -8.286071501726015)","('zoellick', -8.299357721462073)","('customs', -8.356843209550394)","('agreements', -8.405884819606218)","('quotas', -8.428878144030492)","('brazil', -8.463263142795643)","('agriculture', -8.5283068103904)","('pact', -8.536265708363654)","('agricultural', -8.55416010153813)","('textile', -8.555820798856672)"
men,"('gender', -7.8206650502946164)","('males', -8.229149475639423)","('fathers', -8.305099457423882)","('shirts', -8.430167544321023)","('testosterone', -8.439790644201793)","('sexes', -8.540692183703996)","('wives', -8.581456548396526)","('mothers', -8.644098566028635)","('discrimination', -8.665184693738674)","('designers', -8.682919454200507)","('prostate', -8.700394906345418)","('jacket', -8.71827377866475)","('farrakhan', -8.781339300004708)","('pants', -8.824731957465794)","('workplace', -8.83636583149963)","('husbands', -8.843274868956506)","('jackets', -8.884576671239092)","('jeans', -8.916136367806496)","('sperm', -8.924582261015274)","('breast', -9.031743322666404)"
government employees,"('pension', -7.032950542111595)","('layoffs', -7.167089656182313)","('dinkins', -7.551532665867448)","('salaries', -7.708090054380022)","('wage', -7.740698027107095)","('comptroller', -7.917176651094863)","('payroll', -7.958651830674144)","('pensions', -7.964202828978979)","('concessions', -7.976404089290755)","('bloomberg', -8.014184982792372)","('bargaining', -8.033922868177877)","('departments', -8.06198843404316)","('koch', -8.1192049424634)","('cuomo', -8.138446242017393)","('taxpayers', -8.167392023660032)","('freeze', -8.178794416322223)","('wages', -8.180875375334942)","('firefighters', -8.216349350448073)","('pataki', -8.24547183080785)","('reductions', -8.266291159591983)"
buildings (structures),"('architects', -7.717409107324759)","('architectural', -7.765445188436475)","('facade', -8.02674951114638)","('developers', -8.056669044736724)","('towers', -8.138359163866811)","('javits', -8.320864056598802)","('demolition', -8.347649261529405)","('tenants', -8.372495292330106)","('preservation', -8.512176359977902)","('coliseum', -8.559872088589536)","('structures', -8.56783064124761)","('structural', -8.590678212959588)","('renovation', -8.60179636065629)","('columbus', -8.668263254933727)","('collapsed', -8.682018997452397)","('spaces', -8.682734439217732)","('engineers', -8.699384376698108)","('exterior', -8.72596138409478)","('bricks', -8.730573985134281)","('landmark', -8.735444520495497)"
real estate,"('developers', -7.087899557273962)","('tenants', -7.1845014605325765)","('lease', -7.366070760745032)","('realty', -7.3879615813566195)","('tenant', -7.463209210518196)","('brokers', -7.469178871110103)","('mortgage', -7.470918098384164)","('bath', -7.5111638972575205)","('condominium', -7.520651532575677)","('garage', -7.523400119528796)","('rents', -7.534795846995024)","('rental', -7.615230715505593)","('condo', -7.763965225860779)","('condominiums', -7.811141073997409)","('bedrooms', -7.815295056362251)","('landlord', -7.8179764373079665)","('fireplace', -7.841775344404954)","('zoning', -7.904601297200011)","('colonial', -7.950660184208846)","('vacant', -7.97039358355719)"
constitutions,"('referendum', -7.836213842620018)","('unconstitutional', -7.941596056894214)","('justices', -7.981572016636406)","('judicial', -8.207059993696616)","('shiite', -8.207773733861043)","('amendments', -8.21435792079997)","('sunni', -8.240373156009483)","('framers', -8.378392223425362)","('clause', -8.449670826672508)","('judiciary', -8.463269974180516)","('shall', -8.540438289234014)","('bicentennial', -8.561407320169804)","('provinces', -8.571082337549102)","('iraqis', -8.578919702747541)","('sunnis', -8.612044983664058)","('kurdish', -8.612754759185846)","('charter', -8.614163591267964)","('liberties', -8.636639270995376)","('shiites', -8.65546335327374)","('ballot', -8.677870977046787)"
families and family life,"('mothers', -7.15298219773345)","('fathers', -7.6760684721262225)","('mom', -7.760152520356198)","('divorce', -7.911879530066482)","('dad', -7.933280300635477)","('parental', -7.977802909389887)","('couples', -8.01508619165431)","('parenting', -8.098325119465049)","('grandparents', -8.196979072214734)","('employers', -8.271831590182094)","('siblings', -8.318616533898638)","('spouse', -8.429419328680165)","('motherhood', -8.434763425073754)","('divorced', -8.473932564964715)","('households', -8.497550005659079)","('marriages', -8.538720716216895)","('unpaid', -8.550346815098528)","('husbands', -8.553708408053883)","('pregnant', -8.568495933742788)","('wives', -8.578378344557361)"
doctors,"('physicians', -6.23841366240197)","('physician', -6.677823580653195)","('medicare', -7.13056597122479)","('malpractice', -7.233117473906039)","('nurses', -7.601756747024036)","('clinical', -7.724183847705002)","('insurers', -7.755653317747236)","('surgeons', -7.79003556498)","('clinic', -7.796731085773332)","('surgeon', -7.799425707298855)","('specialists', -7.902039335078863)","('medicaid', -7.924393790942875)","('prescription', -7.965992342611462)","('providers', -7.96772252720653)","('premiums', -7.9970303925909185)","('clinics', -8.006300375033732)","('treatments', -8.012538584706762)","('treating', -8.02129523843017)","('nurse', -8.040141285718299)","('profession', -8.095134582651161)"
historic buildings and sites,"('preservation', -6.3132373837804066)","('landmarks', -6.446051459051706)","('landmark', -6.592151296513811)","('architectural', -7.164983927115397)","('restoration', -7.2180771065543565)","('preservationists', -7.352991595084619)","('designation', -7.433376478795044)","('facade', -7.467700473421111)","('demolition', -7.630989005881186)","('architects', -7.645763366511126)","('renovation', -7.777612966236998)","('exterior', -7.826164094420702)","('structures', -7.904231247538212)","('developers', -7.910239147253268)","('mansion', -7.965196077534069)","('marble', -8.06915151027061)","('heritage', -8.080205618395686)","('tours', -8.130435536144452)","('demolished', -8.141690245821842)","('register', -8.182894595414817)"
agriculture,"('agriculture', -6.298914701425153)","('agricultural', -6.507501706104947)","('crops', -6.807578277719648)","('farms', -6.8245728525396485)","('subsidies', -7.001201007631229)","('ops', -7.077856962899868)","('farming', -7.118445312518005)","('corn', -7.1543978673253275)","('crop', -7.2253392874730284)","('farmer', -7.257013828245185)","('farmland', -7.60302608280623)","('cooperatives', -7.608152569838323)","('drought', -7.652641579181676)","('cooperative', -7.66991923979139)","('grain', -7.684892458321637)","('condominium', -7.686258661010662)","('cattle', -7.710914555273091)","('wheat', -7.732193292074985)","('growers', -7.73935112901096)","('tenants', -7.7398014005851055)"
shortages,"('shortage', -6.733682388047677)","('shortages', -7.204392591526536)","('electricity', -7.836838785789111)","('nurses', -7.986729209643347)","('nursing', -8.154897263802523)","('drought', -8.227349271963377)","('utilities', -8.477700532140915)","('vaccine', -8.51246801663373)","('nurse', -8.610810623601617)","('blackouts', -8.616658887780241)","('conservation', -8.632475551565978)","('flu', -8.658657898416383)","('generators', -8.696079349499549)","('gasoline', -8.703141371320063)","('salaries', -8.76405028582213)","('reservoirs', -8.800639025021798)","('qualified', -8.853442105507156)","('wages', -8.874797937668525)","('gallons', -8.879886952172608)","('consumption', -8.883459161009633)"
oil (petroleum) and gasoline,"('crude', -5.601058476184199)","('gasoline', -5.670313492980597)","('barrels', -5.821248111333008)","('petroleum', -5.868382626172437)","('barrel', -6.1240075265522)","('opec', -6.308315588532589)","('gallon', -6.335876945314996)","('refinery', -6.588756407691206)","('exxon', -6.61947860009423)","('drilling', -6.666548509176988)","('saudi', -6.687540113699286)","('imports', -6.72024731367547)","('pipeline', -6.856365797308871)","('arabia', -6.868339498245732)","('kuwait', -6.886709189996829)","('heating', -6.953218565627348)","('output', -6.953478345503221)","('spill', -6.9784783429520845)","('distillate', -6.984456656361997)","('exporting', -6.997552353456717)"
magazines,"('circulation', -6.666969711607822)","('publications', -6.803998758971492)","('publishers', -6.94784550182512)","('advertisers', -7.037109135354351)","('nast', -7.376004225011972)","('editors', -7.519272934679233)","('newsstand', -7.582991071997634)","('hearst', -7.717477323297462)","('conde', -7.886792549675523)","('newsstands', -7.888116176313947)","('publishes', -7.962905917398569)","('subscribers', -8.009731940624782)","('yorker', -8.036864498651862)","('condé', -8.072869713414144)","('addenda', -8.103714949645074)","('newsweek', -8.124431620089586)","('publish', -8.137911194054327)","('vogue', -8.144573936245052)","('subscriptions', -8.15360157895979)","('digest', -8.22034090423308)"
"fishing, sport","('fishing', -6.59370386258546)","('trout', -7.2085365031556154)","('anglers', -7.267533522470608)","('fishermen', -7.498696659555371)","('angler', -7.843846329723313)","('rod', -7.911133203588603)","('fisherman', -7.991920368479696)","('salmon', -8.04712733791504)","('bait', -8.123615104605433)","('casting', -8.18257287416457)","('outdoors', -8.188264749384716)","('angling', -8.189344052130737)","('fished', -8.194851400625296)","('striped', -8.246671900309956)","('flies', -8.286001473420075)","('bluefish', -8.290183680157416)","('stripers', -8.405158353438116)","('boats', -8.413834707615436)","('hook', -8.442298472387787)","('stream', -8.448449587309538)"
writing and writers,"('graders', -7.673298266599795)","('novels', -7.709129885368102)","('math', -7.7665360111954005)","('authors', -7.925611478344788)","('plagiarism', -7.956604464034746)","('novelist', -8.120270714887825)","('literacy', -8.242324255600845)","('essay', -8.250528044263714)","('grades', -8.25591916628825)","('elementary', -8.29905967606374)","('essays', -8.359686894071725)","('poet', -8.377669627216578)","('memoir', -8.379341081653692)","('chancellor', -8.404479312879857)","('poetry', -8.405232897029993)","('editors', -8.430578985257036)","('publishers', -8.433427192017923)","('biography', -8.476966900467911)","('exam', -8.490266636167572)","('curriculum', -8.4932629787922)"
rescues,"('rescued', -7.780473772149996)","('rescuers', -7.794997904426719)","('firefighters', -8.044092286187958)","('helicopter', -8.256181029514185)","('trapped', -8.282741748476644)","('survivors', -8.369686640562469)","('firefighter', -8.628086072347255)","('rubble', -8.652513062923513)","('debris', -8.762683882307725)","('helicopters', -8.776270141602641)","('collapsed', -8.805330998648165)","('earthquake', -8.878247119599527)","('aboard', -8.942707055538397)","('wreckage', -9.059129249420351)","('miners', -9.071262516547458)","('rescues', -9.07697663826781)","('explosion', -9.087155689691)","('divers', -9.123421743978078)","('stranded', -9.15862728889018)","('quake', -9.226664663832624)"
rain,"('rains', -7.649785646789628)","('flooding', -7.6581521012542755)","('acid', -7.815786930452704)","('flood', -7.980504638237899)","('drought', -7.987002861181095)","('rainfall', -7.998164940821511)","('flooded', -8.273348168352374)","('sulfur', -8.285116434239999)","('emissions', -8.38970541697639)","('floods', -8.402633377583957)","('pollution', -8.44254982961558)","('winds', -8.505720699147611)","('reservoirs', -8.529615487202598)","('meteorologist', -8.58943894160238)","('lakes', -8.620041844352293)","('precipitation', -8.647169320562307)","('dioxide', -8.65871654570733)","('wet', -8.682759764576211)","('coal', -8.686656498482016)","('storms', -8.730296483474337)"
cocaine and crack cocaine,"('cocaine', -5.611946969965397)","('colombia', -7.206607615881941)","('narcotics', -7.379416016478113)","('traffickers', -7.406467396490532)","('colombian', -7.426333899630835)","('trafficking', -7.4953473769386765)","('possession', -7.559732754866757)","('heroin', -7.585639520348807)","('cartel', -7.818519001289033)","('undercover', -7.844381892529473)","('marijuana', -7.880104972479819)","('coca', -7.996127509728884)","('arrests', -8.008566155033146)","('medellin', -8.023733418886481)","('smuggling', -8.155347468982956)","('addicts', -8.188409461001928)","('substance', -8.194790369816042)","('addiction', -8.238414008572862)","('conspiracy', -8.333541474988163)","('indictment', -8.3848335830834)"
security and warning systems,"('airports', -7.051851905567424)","('terrorists', -7.214828049031994)","('homeland', -7.277769576399772)","('aviation', -7.526842865177008)","('screening', -7.615306090680506)","('passenger', -7.676998358867915)","('guards', -7.678935150212565)","('travelers', -7.698903564792231)","('detectors', -7.707342747268382)","('alert', -7.727990856948077)","('flights', -7.833256286886506)","('surveillance', -7.854898591044221)","('screeners', -7.900647867547214)","('alarm', -7.933353533636094)","('explosives', -7.93931113000281)","('baggage', -7.942604743951231)","('luggage', -7.955315401681082)","('privacy', -8.035260544906283)","('qaeda', -8.057512885636346)","('checkpoints', -8.096484152079285)"
